MIP,"Inputs are reversed: 0 for on, 1 for off",
,,
Inputs,Function,Comment
0,CAPT AFDS Test 1,
1,CAPT AFDS Test 2,
2,,
3,,
4,CAPT+FO A/P P/RST,
5,CAPT+FO A/T P/RST,
6,CAPT+FO FMC P/RST,
7,Nose Wheel Steering Alt,
8,CAPT DU OUTBD PFD,
9,CAPT DU NORM,
10,CAPT DU ENG PRI,
11,CAPT DU PFD,
12,CAPT DU MFD,
13,CAPT LOWER DU ENG PRI,
14,CAPT LOWER DU NORM,
15,CAPT LOWER DU ND,
16,CAPT+FO SIXPACK RECALL,
17,CAPT+FO FIRE WARN,
18,CAPT+FO MASTER CAUTION,
19,Lights TEST,
20,Lights DIM,
21,,
22,Gear UP,
23,Gear DN,
24,FO DU MFD,
25,FO DU PFD,
26,FO DU ENG PRI,
27,FO DU NORM,
28,FO DU OUTBD PFD,
29,FO LOWER DU ND,
30,FO LOWER DU NORM,
31,FO LOWER DU ENG PRI,
32,SPD REF Encoder,
33,SPD REF Encoder,
34,,
35,SPD REF SET,
36,SPD REF TRIANGLE,
37,MFD ENG ,
38,SPD REF VREF,
39,SPD REF WT,
40,,
41,SPD REF VR,
42,SPD REF V1,
43,GPWS Test,
44,SPD REF AUTO,
45,GPWS Flap Inhibit,
46,GPWS Gear Inhibit,
47,GPWS Terr Inhibit,
48,N1 SET Encoder,
49,N1 SET Encoder,
50,,
51,N1 SET BOTH,
52,N1 SET AUTO,
53,MFD SYS,
54,N1 SET 1,
55,N1 SET 2,
56,AUTOBRAKE RTO,
57,AUTOBRAKE OFF,
58,AUTOBRAKE 1,
59,AUTOBRAKE 2,
60,AUTOBRAKE 3,
61,AUTOBRAKE MAX,
62,Fuel Flow Reset,
63,Fuel Flow Used,
64,ISFD RST,
65,ISFD -,
66,ISFD +,
67,ISFD APP,
68,ISFD HP/IN,
69,ISFD ENCODER BUTTON,
70,ISFD ENCODER,
71,ISFD ENCODER,
72,CAPT MIC,
73,CAPT CLOCK,
74,,
75,,
76,,
77,,
78,,
79,,
80,FO MIC,
81,FO CLOCK,
,,
Analog Inputs,Function,Comment
0,CAPT OUTBD DU BRT,
1,CAPT INBD DU BRT,
2,CAPT UPPER DU BRT,
3,FO OUTBD DU BRRT,
4,FO INBD DU BRT,
,,
Outputs,Function,Comment
0,CAPT A/P P/RST Yellow,
1,CAPT A/P P/RST Red,
2,CAPT A/T P/RST Yellow,
3,CAPT A/T P/RST Red,
4,CAPT FMC P/RST Yellow,
5,SPEED BRAKE ARMED,
6,SPEED BRAKE DONT ARM,
7,STAB OUT OF TRIM,
8,SIXPACK FLT CONT,
9,SIXPACK ELEC,
10,SIXPACK IRS,
11,SIXPACK APU,
12,SIXPACK FUEL,
13,SIXPACK OVHT/DET,
14,CAPT MASTER CAUTION,
15,CAPT FIRE WARN,
16,BELOW G/S P-INHIBIT,
17,CAPT + AFDS BACKLIGHT RELAY,
18,CAPT + AFDS BACKLIGHT RELAY,
19,CAPT + AFDS BACKLIGHT RELAY,
20,CAPT + AFDS BACKLIGHT RELAY,
21,CAPT + AFDS BACKLIGHT RELAY,
22,CAPT + AFDS BACKLIGHT RELAY,
23,CAPT + AFDS BACKLIGHT RELAY,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,F/O A/P P/RST YELLOW,
33,F/O A/P P/RST RED,
34,F/O A/T P/RST YELLOW,
35,F/O A/T P/RST RED,
36,F/O FMC P/RST YELLOW,
37,SPEED BRAKE EXTENDED,
38,F/O BELOW G/S P-INHIBIT,
39,GWPS INOP,
40,SIXPACK ANTI ICE,
41,SIXPACK ENG,
42,SIXPACK HYD,
43,SIXPACK OVHD,
44,SIXPACK DOORS,
45,SIXPACK AIR COND,
46,F/O MASTER CAUTION,
47,F/O FIRE WARN,
48,RIGHT GEAR RED,
49,RIGHT GEAR GREEN,
50,LEFT GEAR RED,
51,LEFT GEAR GREEN,
52,NOSE GEAR RED,
53,NOSSE GEAR GREEN,
54,,
55,,
56,AUTOBRAKE DISARM,
57,ANTI SKID INOP,
58,LE FLAPS TRANSIT,
59,LE FLAPS EXT,
60,,
61,,
62,F/O BACKLIGHT RELAY,
63,F/O BACKLIGHT RELAY,
,,
SERVO,Function,Comment
0,FLAPS,
1,BRAKE PRESS,
2,YAW DAMPER,
3,,
